iteration,population_size,to_mate,to_mutate,fitness,time
0,20,4,0,46.0,3.3850000003e-06
10,20,4,0,51.0,0.00182224
20,20,4,0,38.0,0.002017579
30,20,4,0,48.0,0.001441799
40,20,4,0,43.0,0.00052755
50,20,4,0,49.0,0.00090133
60,20,4,0,46.0,0.001219949
70,20,4,0,50.0,0.000989069
80,20,4,0,45.0,0.00106702
90,20,4,0,43.0,0.000941809
100,20,4,0,49.0,0.001172837
110,20,4,0,47.0,0.001744693
120,20,4,0,45.0,0.001351912
130,20,4,0,45.0,0.001008986
140,20,4,0,45.0,0.001483127
150,20,4,0,43.0,0.001750767
160,20,4,0,48.0,0.003220213
170,20,4,0,52.0,0.000980364999999
180,20,4,0,40.0,0.001841116
190,20,4,0,43.0,0.001066433
200,20,4,0,45.0,0.001017375
210,20,4,0,47.0,0.000879579999999
220,20,4,0,50.0,0.000834073
230,20,4,0,48.0,0.001467215
240,20,4,0,46.0,0.001611334
250,20,4,0,47.0,0.001097626
260,20,4,0,43.0,0.001437035
270,20,4,0,43.0,0.001071208
280,20,4,0,57.0,0.000991995
290,20,4,0,51.0,0.001061276
300,20,4,0,49.0,0.001545287
310,20,4,0,48.0,0.001094604
320,20,4,0,43.0,0.001193483
330,20,4,0,49.0,0.001527787
340,20,4,0,48.0,0.002353223
350,20,4,0,44.0,0.001263685
360,20,4,0,44.0,0.001267624
370,20,4,0,45.0,0.001415732
380,20,4,0,51.0,0.001490172
390,20,4,0,44.0,0.001612348
400,20,4,0,44.0,0.001561498
410,20,4,0,49.0,0.002106722
420,20,4,0,44.0,0.00147034
430,20,4,0,43.0,0.00185245
440,20,4,0,43.0,0.001578665
450,20,4,0,45.0,0.001591319
460,20,4,0,44.0,0.001685264
470,20,4,0,44.0,0.001953981
480,20,4,0,46.0,0.001940108
490,20,4,0,48.0,0.002111844
500,20,4,0,46.0,0.002023294
510,20,4,0,51.0,0.001957569
520,20,4,0,46.0,0.001837331
530,20,4,0,47.0,0.00199839
540,20,4,0,43.0,0.002133525
550,20,4,0,50.0,0.00224601
560,20,4,0,46.0,0.001993118
570,20,4,0,48.0,0.003257426
580,20,4,0,51.0,0.002957352
590,20,4,0,45.0,0.002822217
600,20,4,0,37.0,0.002393834
610,20,4,0,43.0,0.003960611
620,20,4,0,43.0,0.00361668
630,20,4,0,44.0,0.00459123
640,20,4,0,43.0,0.002681469
650,20,4,0,40.0,0.006178884
660,20,4,0,39.0,0.002334455
670,20,4,0,45.0,0.002622564
680,20,4,0,47.0,0.003477383
690,20,4,0,43.0,0.003680176
700,20,4,0,46.0,0.002495298
710,20,4,0,46.0,0.008258166
720,20,4,0,45.0,0.009824281
730,20,4,0,46.0,0.007721423
740,20,4,0,45.0,0.009339401
750,20,4,0,40.0,0.009931175
760,20,4,0,47.0,0.011093375
770,20,4,0,50.0,0.011768726
780,20,4,0,48.0,0.004601189
790,20,4,0,36.0,0.0032091
800,20,4,0,44.0,0.00309196
810,20,4,0,46.0,0.003212873
820,20,4,0,45.0,0.003302557
830,20,4,0,45.0,0.003055963
840,20,4,0,44.0,0.003247653
850,20,4,0,46.0,0.003166297
860,20,4,0,56.0,0.003120456
870,20,4,0,41.0,0.003522624
880,20,4,0,49.0,0.003269885
890,20,4,0,51.0,0.00343287
900,20,4,0,48.0,0.003191545
910,20,4,0,51.0,0.003623351
920,20,4,0,47.0,0.003309319
930,20,4,0,44.0,0.00357477
940,20,4,0,41.0,0.003553193
950,20,4,0,49.0,0.00407397
960,20,4,0,44.0,0.003510553
970,20,4,0,42.0,0.004159743
980,20,4,0,48.0,0.006189194
990,20,4,0,50.0,0.004191113
1000,20,4,0,50.0,0.006167613
1010,20,4,0,45.0,0.006993535
1020,20,4,0,47.0,0.007256046
1030,20,4,0,44.0,0.004649957
1040,20,4,0,50.0,0.007194663
1050,20,4,0,52.0,0.008870752
1060,20,4,0,49.0,0.009951668
1070,20,4,0,47.0,0.007915596
1080,20,4,0,45.0,0.011173819
1090,20,4,0,49.0,0.062355654
1100,20,4,0,46.0,0.011255718
1110,20,4,0,48.0,0.010148761
1120,20,4,0,41.0,0.008466305
1130,20,4,0,45.0,0.005107687
1140,20,4,0,48.0,0.008433746
1150,20,4,0,49.0,0.00500715
1160,20,4,0,48.0,0.010920037
1170,20,4,0,47.0,0.005582365
1180,20,4,0,45.0,0.040841714
1190,20,4,0,43.0,0.020729302
1200,20,4,0,43.0,0.016412448
1210,20,4,0,46.0,0.015568998
1220,20,4,0,44.0,0.005619254
1230,20,4,0,45.0,0.005280992
1240,20,4,0,50.0,0.004910193
1250,20,4,0,47.0,0.005844401
1260,20,4,0,45.0,0.005114577
1270,20,4,0,51.0,0.005556632
1280,20,4,0,44.0,0.006770708
1290,20,4,0,43.0,0.01931062
1300,20,4,0,48.0,0.009985308
1310,20,4,0,43.0,0.00495332
1320,20,4,0,46.0,0.005128872
1330,20,4,0,45.0,0.005789906
1340,20,4,0,50.0,0.006614822
1350,20,4,0,45.0,0.006720075
1360,20,4,0,52.0,0.00938701
1370,20,4,0,47.0,0.007014538
1380,20,4,0,47.0,0.010935967
1390,20,4,0,48.0,0.007089298
1400,20,4,0,48.0,0.007172586
1410,20,4,0,47.0,0.00990303
1420,20,4,0,52.0,0.006121004
1430,20,4,0,47.0,0.007888935
1440,20,4,0,46.0,0.007829595
1450,20,4,0,47.0,0.00575879
1460,20,4,0,52.0,0.008664152
1470,20,4,0,47.0,0.006666489
1480,20,4,0,42.0,0.010049431
1490,20,4,0,43.0,0.013953446
1500,20,4,0,47.0,0.014146814
1510,20,4,0,47.0,0.013969799
1520,20,4,0,49.0,0.011864818
1530,20,4,0,50.0,0.004192557
1540,20,4,0,49.0,0.004478476
1550,20,4,0,50.0,0.004779953
1560,20,4,0,48.0,0.004407381
1570,20,4,0,44.0,0.004393632
1580,20,4,0,41.0,0.006910297
1590,20,4,0,45.0,0.004991025
1600,20,4,0,47.0,0.006366832
1610,20,4,0,39.0,0.00468677
1620,20,4,0,46.0,0.008154032
1630,20,4,0,36.0,0.005308645
1640,20,4,0,52.0,0.006691074
1650,20,4,0,46.0,0.005201244
1660,20,4,0,44.0,0.019541375
1670,20,4,0,53.0,0.019017089
1680,20,4,0,49.0,0.007462076
1690,20,4,0,45.0,0.015900583
1700,20,4,0,50.0,0.012694451
1710,20,4,0,51.0,0.005842848
1720,20,4,0,46.0,0.009283956
1730,20,4,0,43.0,0.00553482
1740,20,4,0,44.0,0.007341847
1750,20,4,0,38.0,0.005163165
1760,20,4,0,40.0,0.006140613
1770,20,4,0,51.0,0.008137298
1780,20,4,0,45.0,0.006585393
1790,20,4,0,43.0,0.007102732
1800,20,4,0,45.0,0.010365032
1810,20,4,0,43.0,0.011830907
1820,20,4,0,46.0,0.009299881
1830,20,4,0,41.0,0.006525756
1840,20,4,0,46.0,0.009889441
1850,20,4,0,51.0,0.006513609
1860,20,4,0,43.0,0.00890247
1870,20,4,0,45.0,0.010096351
1880,20,4,0,49.0,0.006500757
1890,20,4,0,45.0,0.011117961
1900,20,4,0,53.0,0.007812002
1910,20,4,0,49.0,0.007390358
1920,20,4,0,46.0,0.005787168
1930,20,4,0,49.0,0.007948146
1940,20,4,0,46.0,0.005918027
1950,20,4,0,50.0,0.009235708
1960,20,4,0,48.0,0.013150962
1970,20,4,0,45.0,0.008929992
1980,20,4,0,48.0,0.011175979
1990,20,4,0,48.0,0.011425752
2000,20,4,0,45.0,0.011996492
2010,20,4,0,47.0,0.009075386
2020,20,4,0,47.0,0.140865133
2030,20,4,0,45.0,0.008755576
2040,20,4,0,50.0,0.014717248
2050,20,4,0,53.0,0.017931926
2060,20,4,0,43.0,0.029681546
2070,20,4,0,47.0,0.160690777
2080,20,4,0,44.0,0.056766432
2090,20,4,0,43.0,0.039247215
2100,20,4,0,47.0,0.011933078
2110,20,4,0,50.0,0.010057476
2120,20,4,0,44.0,0.115628696
2130,20,4,0,48.0,0.092804573
2140,20,4,0,57.0,0.012555221
2150,20,4,0,51.0,0.039050735
2160,20,4,0,46.0,0.011348724
2170,20,4,0,37.0,0.009866464
2180,20,4,0,47.0,0.109692894
2190,20,4,0,46.0,0.014329238
2200,20,4,0,46.0,0.012473875
2210,20,4,0,47.0,0.014294838
2220,20,4,0,51.0,0.009375971
2230,20,4,0,50.0,0.006853777
2240,20,4,0,50.0,0.009169536
2250,20,4,0,52.0,0.009159786
2260,20,4,0,55.0,0.0074135
2270,20,4,0,41.0,0.009667253
2280,20,4,0,43.0,0.007219391
2290,20,4,0,53.0,0.009719798
2300,20,4,0,44.0,0.01418511
2310,20,4,0,48.0,0.009908115
2320,20,4,0,46.0,0.00959693
2330,20,4,0,46.0,0.013981416
2340,20,4,0,43.0,0.00864631
2350,20,4,0,45.0,0.007706064
2360,20,4,0,47.0,0.010222696
2370,20,4,0,48.0,0.008598769
2380,20,4,0,48.0,0.011051849
2390,20,4,0,51.0,0.014644656
2400,20,4,0,43.0,0.011294929
2410,20,4,0,44.0,0.010803396
2420,20,4,0,44.0,0.012195099
2430,20,4,0,55.0,0.013123331
2440,20,4,0,45.0,0.012011802
2450,20,4,0,48.0,0.013292042
2460,20,4,0,49.0,0.009819921
2470,20,4,0,48.0,0.008936272
2480,20,4,0,51.0,0.014084978
2490,20,4,0,53.0,0.009936901
2500,20,4,0,48.0,0.011277281
2510,20,4,0,46.0,0.009147509
2520,20,4,0,47.0,0.008380737
2530,20,4,0,45.0,0.009545723
2540,20,4,0,48.0,0.00942207
2550,20,4,0,50.0,0.009042658
2560,20,4,0,55.0,0.027923721
2570,20,4,0,53.0,0.030380201
2580,20,4,0,48.0,0.014966356
2590,20,4,0,47.0,0.013501067
2600,20,4,0,45.0,0.010958361
2610,20,4,0,41.0,0.010653625
2620,20,4,0,47.0,0.008743364
2630,20,4,0,45.0,0.008208271
2640,20,4,0,42.0,0.007742281
2650,20,4,0,46.0,0.009008105
2660,20,4,0,45.0,0.007575251
2670,20,4,0,52.0,0.00794075
2680,20,4,0,42.0,0.00810697
2690,20,4,0,49.0,0.008424818
2700,20,4,0,52.0,0.008020004
2710,20,4,0,42.0,0.00872632
2720,20,4,0,41.0,0.00809878
2730,20,4,0,52.0,0.008538007
2740,20,4,0,45.0,0.010436208
2750,20,4,0,46.0,0.00926832
2760,20,4,0,48.0,0.008917499
2770,20,4,0,39.0,0.010030177
2780,20,4,0,52.0,0.011119409
2790,20,4,0,49.0,0.013922031
2800,20,4,0,50.0,0.016074497
2810,20,4,0,47.0,0.009590268
2820,20,4,0,49.0,0.011185198
2830,20,4,0,44.0,0.010525095
2840,20,4,0,49.0,0.00811581
2850,20,4,0,50.0,0.008535201
2860,20,4,0,48.0,0.009160893
2870,20,4,0,56.0,0.008443717
2880,20,4,0,41.0,0.009254287
2890,20,4,0,45.0,0.008735926
2900,20,4,0,42.0,0.011772619
2910,20,4,0,46.0,0.01001625
2920,20,4,0,45.0,0.008685859
2930,20,4,0,43.0,0.009708606
2940,20,4,0,43.0,0.008432322
2950,20,4,0,52.0,0.011038332
2960,20,4,0,48.0,0.00860922
2970,20,4,0,41.0,0.010557866
2980,20,4,0,45.0,0.012608634
2990,20,4,0,53.0,0.01128175
3000,20,4,0,47.0,0.011962569
3010,20,4,0,44.0,0.037621576
3020,20,4,0,48.0,0.022794752
3030,20,4,0,43.0,0.010760953
3040,20,4,0,46.0,0.008768277
3050,20,4,0,42.0,0.009582347
3060,20,4,0,43.0,0.009277289
3070,20,4,0,46.0,0.008933693
3080,20,4,0,45.0,0.009073653
3090,20,4,0,44.0,0.008980733
3100,20,4,0,47.0,0.008975158
3110,20,4,0,47.0,0.010589926
3120,20,4,0,47.0,0.011403276
3130,20,4,0,53.0,0.011949204
3140,20,4,0,45.0,0.009697518
3150,20,4,0,52.0,0.011915797
3160,20,4,0,48.0,0.012094435
3170,20,4,0,46.0,0.01397071
