iterations,samples,to_keep,m,fitness,time
0,50,10,0.1,50.0,7.3989e-05
10,50,10,0.1,64.0,0.078030417
20,50,10,0.1,69.0,0.110112531
30,50,10,0.1,70.0,0.16122003
40,50,10,0.1,68.0,0.172392281
50,50,10,0.1,69.0,0.182643123
60,50,10,0.1,73.0,0.157833421
70,50,10,0.1,75.0,0.14520535
80,50,10,0.1,71.0,0.204759566
90,50,10,0.1,76.0,0.183751984
100,50,10,0.1,72.0,0.18700559
110,50,10,0.1,74.0,0.245599535
120,50,10,0.1,70.0,0.268701489
130,50,10,0.1,77.0,0.265532714
140,50,10,0.1,76.0,0.251360792
150,50,10,0.1,76.0,0.29323309
160,50,10,0.1,74.0,0.325990658
170,50,10,0.1,72.0,0.315281007
180,50,10,0.1,74.0,0.334127831
190,50,10,0.1,76.0,0.530287413
200,50,10,0.1,72.0,0.360386854
210,50,10,0.1,75.0,0.395020496
220,50,10,0.1,77.0,0.401920684
230,50,10,0.1,75.0,0.458355382
240,50,10,0.1,77.0,0.423909417
250,50,10,0.1,76.0,0.537151379
260,50,10,0.1,75.0,0.4477221
270,50,10,0.1,80.0,0.477724012
280,50,10,0.1,78.0,0.475941469
290,50,10,0.1,75.0,0.507115187
300,50,10,0.1,80.0,0.547547018
310,50,10,0.1,77.0,0.569528827
320,50,10,0.1,78.0,0.549669682
330,50,10,0.1,76.0,0.570521553
340,50,10,0.1,79.0,0.566057347
350,50,10,0.1,78.0,0.595507394
360,50,10,0.1,78.0,0.612574238
370,50,10,0.1,77.0,0.643821332
380,50,10,0.1,78.0,0.654277355
390,50,10,0.1,79.0,0.695127291
400,50,10,0.1,76.0,0.688270638
410,50,10,0.1,78.0,0.830427761
420,50,10,0.1,77.0,0.709709
430,50,10,0.1,79.0,0.827145285
440,50,10,0.1,79.0,0.874488652
450,50,10,0.1,76.0,0.792730428
460,50,10,0.1,80.0,0.841951949
470,50,10,0.1,79.0,1.0353266
480,50,10,0.1,80.0,1.024037032
490,50,10,0.1,80.0,0.85340168
0,50,10,0.3,49.0,4.27989999991e-05
10,50,10,0.3,68.0,0.025058719
20,50,10,0.3,75.0,0.041849325
30,50,10,0.3,74.0,0.059788093
40,50,10,0.3,74.0,0.081340304
50,50,10,0.3,73.0,0.107288146
60,50,10,0.3,76.0,0.11317249
70,50,10,0.3,78.0,0.141985715
80,50,10,0.3,76.0,0.155735761
90,50,10,0.3,78.0,0.163731841
100,50,10,0.3,77.0,0.209521116
110,50,10,0.3,79.0,0.23479996
120,50,10,0.3,80.0,0.243778568
