iteration,cooling_value,fitness,time
0,0.19,39.0,9.02000000003e-06
10,0.19,46.0,9.2079e-05
20,0.19,44.0,4.9827e-05
30,0.19,46.0,5.3597e-05
40,0.19,43.0,7.6062e-05
50,0.19,47.0,6.1353e-05
60,0.19,47.0,6.7156e-05
70,0.19,58.0,8.8483e-05
80,0.19,53.0,0.000115016
90,0.19,61.0,0.000105821
100,0.19,61.0,0.000163988
110,0.19,59.0,0.000100432
120,0.19,56.0,0.000113669
130,0.19,63.0,9.7334e-05
140,0.19,66.0,0.000225965
150,0.19,64.0,0.00018531
160,0.19,64.0,0.000147114
170,0.19,68.0,0.000153155
180,0.19,67.0,0.000223409
190,0.19,70.0,0.000148714
200,0.19,71.0,0.000207425
210,0.19,68.0,0.000167247
220,0.19,68.0,0.000152723
230,0.19,68.0,0.000203586
240,0.19,72.0,0.000223074
250,0.19,68.0,0.000306087
260,0.19,71.0,0.000281427
270,0.19,73.0,0.000348218
280,0.19,71.0,0.000471338
290,0.19,73.0,0.000219458
300,0.19,70.0,0.000233572
310,0.19,76.0,0.000229104
320,0.19,74.0,0.000221346
330,0.19,76.0,0.000295382
340,0.19,78.0,0.000275555
350,0.19,79.0,0.000270189
360,0.19,74.0,0.000322646
370,0.19,77.0,0.000284953
380,0.19,76.0,0.000245847
390,0.19,76.0,0.000315274
400,0.19,78.0,0.000311907
410,0.19,77.0,0.000351081
420,0.19,78.0,0.000359458
430,0.19,77.0,0.000339286
440,0.19,77.0,0.000345624
450,0.19,79.0,0.000357813
460,0.19,80.0,0.000417305
470,0.19,79.0,0.00036982
480,0.19,76.0,0.000352821
490,0.19,74.0,0.000404419
500,0.19,79.0,0.00039892
510,0.19,76.0,0.000437444
520,0.19,78.0,0.000594754
530,0.19,79.0,0.000502205
540,0.19,80.0,0.000493523
550,0.19,79.0,0.000519538
560,0.19,80.0,0.000551423
570,0.19,80.0,0.000418075
580,0.19,79.0,0.000425632
590,0.19,78.0,0.000441044
600,0.19,77.0,0.000438436
610,0.19,80.0,0.00046579
620,0.19,80.0,0.00048112
630,0.19,80.0,0.000490311
640,0.19,80.0,0.000519397
650,0.19,80.0,0.000519702
660,0.19,80.0,0.000522672
670,0.19,79.0,0.00053641
680,0.19,80.0,0.000523799
690,0.19,80.0,0.000538095
700,0.19,79.0,0.000555568
710,0.19,79.0,0.000575879
720,0.19,79.0,0.000603469
730,0.19,80.0,0.00060326
740,0.19,80.0,0.00062403
750,0.19,80.0,0.000624351
760,0.19,78.0,0.000751146
770,0.19,79.0,0.000958563
780,0.19,79.0,0.000674346
790,0.19,80.0,0.000750874
800,0.19,80.0,0.000680485
810,0.19,80.0,0.002707508
820,0.19,80.0,0.000973876
830,0.19,80.0,0.000732797
840,0.19,80.0,0.000720303
850,0.19,80.0,0.000738859
860,0.19,80.0,0.000730368
870,0.19,80.0,0.000770247
880,0.19,80.0,0.000785521
890,0.19,80.0,0.000799878
900,0.19,80.0,0.000784223
910,0.19,79.0,0.000823107
920,0.19,80.0,0.000804521
930,0.19,80.0,0.000835193
940,0.19,80.0,0.000857336
950,0.19,80.0,0.000857984
960,0.19,79.0,0.000909273
970,0.19,80.0,0.00088902
980,0.19,80.0,0.000985805
990,0.19,80.0,0.001051995
1000,0.19,80.0,0.000958945
1010,0.19,80.0,0.000930972
1020,0.19,80.0,0.000932324
1030,0.19,80.0,0.000960422
1040,0.19,80.0,0.001062504
1050,0.19,80.0,0.000956997
1060,0.19,80.0,0.001045811
1070,0.19,80.0,0.001167555
1080,0.19,80.0,0.001016236
1090,0.19,80.0,0.001012353
1100,0.19,80.0,0.001035333
1110,0.19,80.0,0.001096268
1120,0.19,80.0,0.001104636
1130,0.19,79.0,0.001084851
1140,0.19,80.0,0.001124674
1150,0.19,80.0,0.001144121
1160,0.19,80.0,0.001113682
1170,0.19,80.0,0.001210541
1180,0.19,80.0,0.001156247
1190,0.19,80.0,0.00116063
1200,0.19,80.0,0.001164422
1210,0.19,80.0,0.0012591
1220,0.19,80.0,0.001269579
1230,0.19,80.0,0.001888722
1240,0.19,80.0,0.001587794
1250,0.19,80.0,0.001241758
1260,0.19,80.0,0.00128622
1270,0.19,80.0,0.001219795
1280,0.19,80.0,0.001277752
1290,0.19,80.0,0.00208203
