iteration,population_size,to_mate,to_mutate,fitness,time
0,200,25,10,8.0,3.95200000014e-06
10,200,25,10,10.0,0.005780125
20,200,25,10,12.0,0.00323302
30,200,25,10,8.0,0.005326121
40,200,25,10,9.0,0.010287803
50,200,25,10,10.0,0.009347672
60,200,25,10,12.0,0.008002513
70,200,25,10,12.0,0.007269871
80,200,25,10,8.0,0.011013925
90,200,25,10,8.0,0.013891417
100,200,25,10,11.0,0.008844945
110,200,25,10,11.0,0.016479142
120,200,25,10,11.0,0.012157372
130,200,25,10,9.0,0.014127531
140,200,25,10,15.0,0.018967509
150,200,25,10,13.0,0.028611889
160,200,25,10,8.0,0.044316741
170,200,25,10,13.0,0.026621305
180,200,25,10,11.0,0.019137886
190,200,25,10,11.0,0.021888747
200,200,25,10,20.0,0.024252817
210,200,25,10,9.0,0.022346315
220,200,25,10,16.0,0.022397159
230,200,25,10,12.0,0.016936315
240,200,25,10,13.0,0.01720065
250,200,25,10,15.0,0.016638592
260,200,25,10,18.0,0.018223679
270,200,25,10,11.0,0.01971708
280,200,25,10,14.0,0.017198471
290,200,25,10,20.0,0.029661485
300,200,25,10,22.0,0.033317853
310,200,25,10,13.0,0.028901146
320,200,25,10,17.0,0.019278849
330,200,25,10,13.0,0.019494182
340,200,25,10,17.0,0.020419654
350,200,25,10,10.0,0.020375312
360,200,25,10,13.0,0.023569853
370,200,25,10,12.0,0.033606185
380,200,25,10,13.0,0.031784256
390,200,25,10,12.0,0.049629436
400,200,25,10,20.0,0.068162961
410,200,25,10,11.0,0.027311301
420,200,25,10,12.0,0.039940367
430,200,25,10,10.0,0.038547201
440,200,25,10,13.0,0.03013248
450,200,25,10,15.0,0.026973553
460,200,25,10,22.0,0.02712967
470,200,25,10,18.0,0.029341445
480,200,25,10,15.0,0.052732695
490,200,25,10,22.0,0.043475132
500,200,25,10,14.0,0.034907388
510,200,25,10,15.0,0.036418066
520,200,25,10,12.0,0.032106418
530,200,25,10,11.0,0.031080221
540,200,25,10,19.0,0.03663507
550,200,25,10,24.0,0.158872545
560,200,25,10,17.0,0.035049508
570,200,25,10,10.0,0.046788472
580,200,25,10,16.0,0.049393001
590,200,25,10,9.0,0.042294656
600,200,25,10,17.0,0.035556052
610,200,25,10,16.0,0.037184463
620,200,25,10,18.0,0.043677034
630,200,25,10,14.0,0.055289146
640,200,25,10,21.0,0.054355371
650,200,25,10,16.0,0.038242256
660,200,25,10,17.0,0.039115689
670,200,25,10,24.0,0.050421676
680,200,25,10,15.0,0.14267357
690,200,25,10,14.0,0.0432978
700,200,25,10,16.0,0.045642595
710,200,25,10,25.0,0.050946156
720,200,25,10,20.0,0.046575255
730,200,25,10,22.0,0.046940148
740,200,25,10,15.0,0.048725613
750,200,25,10,19.0,0.076770286
760,200,25,10,19.0,0.057099977
770,200,25,10,16.0,0.045112452
780,200,25,10,9.0,0.046852048
790,200,25,10,16.0,0.047975794
800,200,25,10,11.0,0.065241945
810,200,25,10,19.0,0.064666523
820,200,25,10,19.0,0.053254475
830,200,25,10,13.0,0.049024424
840,200,25,10,22.0,0.056791009
850,200,25,10,16.0,0.066027219
860,200,25,10,18.0,0.05504036
870,200,25,10,14.0,0.052233441
880,200,25,10,25.0,0.061199045
890,200,25,10,22.0,0.075148364
900,200,25,10,21.0,0.05496843
910,200,25,10,21.0,0.060134084
920,200,25,10,20.0,0.07326312
930,200,25,10,12.0,0.066107769
940,200,25,10,21.0,0.054926121
950,200,25,10,16.0,0.056145725
960,200,25,10,16.0,0.068101185
970,200,25,10,21.0,0.073138817
980,200,25,10,17.0,0.062426832
990,200,25,10,11.0,0.057696371
1000,200,25,10,11.0,0.077355796
1010,200,25,10,21.0,0.070333531
1020,200,25,10,17.0,0.061734137
1030,200,25,10,19.0,0.059811204
1040,200,25,10,18.0,0.07962516
1050,200,25,10,28.0,0.079324307
1060,200,25,10,14.0,0.068885601
1070,200,25,10,17.0,0.070214192
1080,200,25,10,13.0,0.077666789
1090,200,25,10,20.0,0.06724643
1100,200,25,10,15.0,0.07479087
1110,200,25,10,37.0,0.080234884
1120,200,25,10,20.0,0.070969153
1130,200,25,10,23.0,0.073996613
1140,200,25,10,20.0,0.081693083
1150,200,25,10,16.0,0.067388288
1160,200,25,10,24.0,0.074505177
1170,200,25,10,24.0,0.082948422
1180,200,25,10,25.0,0.071679106
1190,200,25,10,19.0,0.104280332
1200,200,25,10,25.0,0.09192348
1210,200,25,10,25.0,0.071128917
1220,200,25,10,17.0,0.081609832
1230,200,25,10,11.0,0.085952976
