iterations,samples,to_keep,fitness,time
0,200,20,0.1,8.0,7.2105e-05
10,200,20,0.1,25.0,0.365431978
20,200,20,0.1,15.0,0.393987192
30,200,20,0.1,19.0,0.504309729
40,200,20,0.1,13.0,0.645474946
50,200,20,0.1,25.0,0.919244387
60,200,20,0.1,18.0,0.964322626
70,200,20,0.1,18.0,1.09655905
80,200,20,0.1,18.0,1.312956678
90,200,20,0.1,33.0,1.373706488
100,200,20,0.1,36.0,1.51578963
110,200,20,0.1,32.0,1.676074701
120,200,20,0.1,21.0,1.881924457
130,200,20,0.1,31.0,1.995051184
140,200,20,0.1,48.0,2.230430569
150,200,20,0.1,31.0,2.357837369
160,200,20,0.1,23.0,2.843521009
170,200,20,0.1,25.0,2.601261482
180,200,20,0.1,31.0,2.835532255
190,200,20,0.1,25.0,2.869807439
200,200,20,0.1,37.0,3.016424133
210,200,20,0.1,26.0,3.118372773
220,200,20,0.1,21.0,3.300091854
230,200,20,0.1,32.0,3.403796754
240,200,20,0.1,40.0,3.53264022
250,200,20,0.1,34.0,3.895664409
260,200,20,0.1,44.0,3.996361128
270,200,20,0.1,29.0,4.073096437
280,200,20,0.1,37.0,4.561487744
290,200,20,0.1,51.0,4.665946809
300,200,20,0.1,41.0,4.474513932
310,200,20,0.1,43.0,4.576951337
320,200,20,0.1,41.0,4.795613448
330,200,20,0.1,39.0,5.270534455
340,200,20,0.1,25.0,5.100538564
350,200,20,0.1,34.0,11.003545244
360,200,20,0.1,43.0,16.155975429
370,200,20,0.1,53.0,10.760981466
380,200,20,0.1,58.0,6.765040497
390,200,20,0.1,52.0,10.831798433
400,200,20,0.1,61.0,8.078231066
410,200,20,0.1,43.0,8.752754555
420,200,20,0.1,47.0,8.276754394
430,200,20,0.1,48.0,8.57005471
440,200,20,0.1,61.0,6.400186761
450,200,20,0.1,45.0,6.503630287
460,200,20,0.1,63.0,7.245502573
470,200,20,0.1,40.0,7.299121449
480,200,20,0.1,38.0,6.978976628
490,200,20,0.1,61.0,8.037159404
0,200,20,0.3,5.0,2.33890000061e-05
10,200,20,0.3,23.0,0.29986131
20,200,20,0.3,29.0,0.326027371
30,200,20,0.3,24.0,0.493032958
40,200,20,0.3,34.0,0.67296875
50,200,20,0.3,35.0,0.801644816
60,200,20,0.3,34.0,0.97939774
70,200,20,0.3,37.0,1.131587111
80,200,20,0.3,42.0,1.341254297
90,200,20,0.3,43.0,1.454386674
100,200,20,0.3,51.0,1.664829498
110,200,20,0.3,61.0,1.804342266
120,200,20,0.3,60.0,1.999352058
130,200,20,0.3,65.0,2.202546958
140,200,20,0.3,52.0,2.782920152
150,200,20,0.3,49.0,3.469312871
160,200,20,0.3,59.0,2.815977606
170,200,20,0.3,75.0,3.002747593
180,200,20,0.3,66.0,3.280443123
