iterations,fitness,time
0,1.0,7.2111e-05
10,1.0,0.000233127
20,0.0,0.000184521
30,8.0,0.000292039
40,1.0,0.000330143
50,3.0,0.000399586
60,3.0,0.000485547
70,0.0,0.000226816
80,0.0,0.000305707
90,1.0,0.000312387
100,0.0,0.0002994
110,4.0,0.000254243
120,2.0,0.000190829
130,5.0,0.00029914
140,0.0,0.000410647
150,1.0,0.000654304
160,4.0,0.000120009
170,4.0,0.000119217
180,4.0,0.000122837
190,1.0,0.000168649
200,5.0,7.3749e-05
210,2.0,7.7723e-05
220,2.0,8.1063e-05
230,2.0,7.4798e-05
240,5.0,8.4394e-05
250,1.0,9.8285e-05
260,0.0,0.000167012
270,9.0,9.7319e-05
280,1.0,0.000109506
290,4.0,0.000130843
300,4.0,0.000112092
310,1.0,0.00011785
320,3.0,0.000133904
330,3.0,0.000226931
340,6.0,0.000190835
350,2.0,0.000117281
360,5.0,0.000133772
370,4.0,0.000123257
380,5.0,0.000184869
390,6.0,0.000140028
400,3.0,0.000106514
410,6.0,0.00015285
420,2.0,0.000141091
430,3.0,0.000174832
440,5.0,0.000162291
450,6.0,0.000157653
460,5.0,0.000189013
470,7.0,0.000169963
480,8.0,0.000169791
490,3.0,0.000169337
500,2.0,0.000191337
510,7.0,0.00018622
520,7.0,0.000184112
530,8.0,0.00019061
540,4.0,0.000191192
550,2.0,0.010695766
560,2.0,0.000192569
570,2.0,0.000196934
580,3.0,0.000165138
590,2.0,0.000167987
600,2.0,0.00016036
610,5.0,0.000210843
620,3.0,0.000307488
630,6.0,0.000190906
640,5.0,0.000150202
650,6.0,0.000152572
660,10.0,0.000670735
670,5.0,0.000368874
680,10.0,0.000201169
690,4.0,0.000174306
700,8.0,0.000141443
710,9.0,0.000155583
720,7.0,0.000145376
730,8.0,0.000172954
740,11.0,0.000194984
750,9.0,0.000213013
760,8.0,0.000177722
770,17.0,0.000169299
780,2.0,0.000217183
790,4.0,0.000157467
800,8.0,0.000273276
810,9.0,0.000178937
820,7.0,0.000212244
830,11.0,0.000173706
840,4.0,0.000185825
850,8.0,0.000199428
860,6.0,0.000219644
870,6.0,0.000255019
880,2.0,0.000346877
890,10.0,0.000553563
900,15.0,0.000444071
910,6.0,0.000813542
920,8.0,0.000825721
930,8.0,0.000837478
940,9.0,0.00081767
950,8.0,0.000741424
960,13.0,0.000883007
970,14.0,0.000864632
980,6.0,0.000816758
990,3.0,0.000820148
1000,3.0,0.000805119
1010,2.0,0.000876825
1020,5.0,0.000830826
1030,7.0,0.000849569
1040,6.0,0.000807937
1050,7.0,0.00089096
1060,11.0,0.000835936
1070,4.0,0.000960481
1080,10.0,0.001100686
1090,2.0,0.000988341
1100,3.0,0.000865525
1110,14.0,0.000933745
1120,6.0,0.000868991
1130,1.0,0.000880958
1140,10.0,0.000956125
1150,5.0,0.001024013
1160,10.0,0.000911081
1170,5.0,0.001001002
1180,7.0,0.000980072
1190,9.0,0.001028737
1200,25.0,0.000976563
1210,10.0,0.000945677
1220,5.0,0.004703473
1230,8.0,0.000207786
1240,5.0,0.000236807
1250,14.0,0.000378344
1260,13.0,0.002109643
1270,6.0,0.000317326
1280,7.0,0.000295178
1290,13.0,0.000292661
1300,10.0,0.000595389
1310,7.0,0.000294044
1320,6.0,0.012538091
1330,8.0,0.00055818
1340,6.0,0.000794104
1350,11.0,0.001030086
1360,8.0,0.00034924
1370,14.0,0.000291376
1380,4.0,0.000696299
1390,13.0,0.00032101
1400,13.0,0.004263462
1410,15.0,0.00042013
1420,17.0,0.000974366
1430,4.0,0.000303921
1440,11.0,0.000318133
1450,6.0,0.00156301
1460,5.0,0.00030444
1470,8.0,0.00035958
1480,9.0,0.000328282
1490,8.0,0.000441923
1500,12.0,0.000311339
1510,10.0,0.000318319
1520,12.0,0.000401911
1530,14.0,0.000316788
1540,7.0,0.000333866
1550,10.0,0.000411016
1560,12.0,0.000408942
1570,18.0,0.000362127
1580,12.0,0.000349532
1590,6.0,0.00035789
1600,11.0,0.0003821
1610,14.0,0.000373983
1620,19.0,0.00039283
1630,20.0,0.000395333
1640,19.0,0.000408242
1650,10.0,0.000414175
1660,5.0,0.000377945
1670,7.0,0.000391706
1680,8.0,0.000466461
1690,7.0,0.000499596
1700,15.0,0.000522239
1710,10.0,0.001258258
1720,11.0,0.000537562
1730,8.0,0.000542528
1740,24.0,0.000567128
1750,7.0,0.002504922
1760,3.0,0.000419
1770,2.0,0.000403187
1780,24.0,0.000382154
1790,18.0,0.000421904
1800,5.0,0.000344928
1810,12.0,0.000399678
1820,16.0,0.000361148
1830,11.0,0.000323059
1840,13.0,0.000356663
1850,6.0,0.000390304
1860,26.0,0.000316235
1870,7.0,0.000486988
1880,23.0,0.000381402
1890,25.0,0.000390712
1900,9.0,0.000399495
1910,21.0,0.000404845
1920,9.0,0.000377644
1930,8.0,0.000418476
1940,20.0,0.000407699
1950,21.0,0.00034186
1960,9.0,0.000445278
1970,10.0,0.000425655
1980,11.0,0.000426432
1990,17.0,0.000470726
2000,10.0,0.000384532
2010,6.0,0.000387525
2020,10.0,0.000391462
2030,11.0,0.000411853
2040,16.0,0.000410573
2050,12.0,0.000380338
2060,25.0,0.000394329
2070,10.0,0.000346695
2080,21.0,0.000482323
2090,16.0,0.000413811
2100,7.0,0.00033749
2110,7.0,0.000430243
2120,8.0,0.000413397
2130,30.0,0.000525759
2140,16.0,0.000366142
2150,10.0,0.000579411
2160,24.0,0.001817352
2170,12.0,0.002240667
2180,5.0,0.001374979
2190,11.0,0.000392129
2200,14.0,0.001168644
2210,6.0,0.003939031
2220,13.0,0.004799197
2230,13.0,0.002260047
2240,5.0,0.004722571
2250,21.0,0.00328423
2260,10.0,0.002792067
2270,10.0,0.003307587
2280,25.0,0.002482007
