iteration,cooling_value,fitness,elapsed_time
0,0.19,0.0,5.18800000004e-06
10,0.19,3.0,6.48569999999e-05
20,0.19,0.0,4.97420000001e-05
30,0.19,1.0,9.5838e-05
40,0.19,0.0,6.16120000001e-05
50,0.19,3.0,6.74710000002e-05
60,0.19,3.0,6.52539999999e-05
70,0.19,6.0,0.000261157
80,0.19,1.0,7.87850000001e-05
90,0.19,0.0,8.49679999999e-05
100,0.19,1.0,4.23380000001e-05
110,0.19,2.0,5.04400000001e-05
120,0.19,4.0,7.66760000002e-05
130,0.19,2.0,8.6504e-05
140,0.19,3.0,0.00018511
150,0.19,1.0,7.58059999999e-05
160,0.19,1.0,8.65459999999e-05
170,0.19,1.0,7.83609999999e-05
180,0.19,2.0,9.37089999999e-05
190,0.19,6.0,8.01930000001e-05
200,0.19,1.0,9.76129999999e-05
210,0.19,1.0,0.00012407
220,0.19,1.0,8.82360000001e-05
230,0.19,3.0,0.000124562
240,0.19,1.0,0.000129463
250,0.19,2.0,0.000145052
260,0.19,5.0,0.00013398
270,0.19,3.0,0.000106436
280,0.19,6.0,0.000201163
290,0.19,3.0,0.000154132
300,0.19,3.0,0.000446065
310,0.19,0.0,0.0001442
320,0.19,3.0,0.000157523
330,0.19,3.0,0.000235499
340,0.19,2.0,0.00015002
350,0.19,4.0,0.002865342
360,0.19,9.0,0.000156673
370,0.19,0.0,0.000150478
380,0.19,5.0,0.000219914
390,0.19,2.0,0.00015799
400,0.19,2.0,0.000442313
410,0.19,2.0,0.00015082
420,0.19,1.0,0.000126423
430,0.19,2.0,0.000137883
440,0.19,1.0,0.000127188
450,0.19,3.0,0.000148581
460,0.19,2.0,0.000147679
470,0.19,5.0,0.000273791
480,0.19,6.0,0.000172547
490,0.19,1.0,0.000169477
500,0.19,3.0,0.000327724
510,0.19,7.0,0.000267614
520,0.19,7.0,0.000224549
530,0.19,2.0,0.000242862
540,0.19,7.0,0.000501906
550,0.19,4.0,0.000380957
560,0.19,5.0,0.000220326
570,0.19,3.0,0.000210036
580,0.19,3.0,0.000228312
590,0.19,4.0,0.000244143
600,0.19,6.0,0.000237889
610,0.19,7.0,0.000280335
620,0.19,7.0,0.000265065
630,0.19,2.0,0.000317258
640,0.19,8.0,0.000287344
650,0.19,7.0,0.000345516
660,0.19,5.0,0.000308648
670,0.19,4.0,0.00039115
680,0.19,6.0,0.000517602
690,0.19,5.0,0.000733423
700,0.19,6.0,0.000711607
710,0.19,13.0,0.000421742
720,0.19,3.0,0.000473974
730,0.19,6.0,0.000682522
740,0.19,6.0,0.000401107
750,0.19,11.0,0.000381121
760,0.19,2.0,0.000349012
770,0.19,3.0,0.000388545
780,0.19,2.0,0.00055444
790,0.19,4.0,0.000518021
800,0.19,3.0,0.000516128
810,0.19,8.0,0.000824462
820,0.19,3.0,0.0004693
830,0.19,8.0,0.000653694
840,0.19,5.0,0.000446691
850,0.19,5.0,0.000593209
860,0.19,5.0,0.000639628
870,0.19,6.0,0.000474427
880,0.19,13.0,0.000602572
890,0.19,10.0,0.000580443
900,0.19,6.0,0.000567156
910,0.19,3.0,0.000554184
920,0.19,5.0,0.000515208
930,0.19,2.0,0.000570513
940,0.19,5.0,0.00072314
950,0.19,4.0,0.000552786
960,0.19,4.0,0.000551682
