iteration,population_size,to_mate,to_mutate,fitness,time
0,200,110,2,2970.18555478,0.000114688
10,200,110,2,3285.44477891,0.010989006
20,200,110,2,3653.45602741,0.007316275
30,200,110,2,3710.68451819,0.007326643
40,200,110,2,3635.74505472,0.010012122
50,200,110,2,3872.06791527,0.006024385
60,200,110,2,4002.05477568,0.007752813
70,200,110,2,3892.81542103,0.00756268
80,200,110,2,3862.25288967,0.009698055
90,200,110,2,3845.09852972,0.009693247
100,200,110,2,3885.26173584,0.014853816
110,200,110,2,4010.65619186,0.017169971
120,200,110,2,3864.23990938,0.021499027
130,200,110,2,3973.00026518,0.024623629
140,200,110,2,4071.23207105,0.026242809
150,200,110,2,4079.78055992,0.03198562
160,200,110,2,3938.59031142,0.015591061
170,200,110,2,4046.7376954,0.01982405
180,200,110,2,4129.96079045,0.050457444
190,200,110,2,3975.54322824,0.017020653
200,200,110,2,4057.29411484,0.022153068
210,200,110,2,3978.48254429,0.018807076
220,200,110,2,3933.3439447,0.021928893
230,200,110,2,3963.31595792,0.020786943
240,200,110,2,4022.39507409,0.023685245
250,200,110,2,3999.55246335,0.025126311
260,200,110,2,4105.87958472,0.029389304
270,200,110,2,3966.26403687,0.027693655
280,200,110,2,4072.18094073,0.030379081
290,200,110,2,4081.53093682,0.040184618
300,200,110,2,3866.17973386,0.04140979
310,200,110,2,4057.89182059,0.03453648
320,200,110,2,4196.57867226,0.030882875
330,200,110,2,3868.31104835,0.032245027
340,200,110,2,4123.03523635,0.029590269
350,200,110,2,3911.5845796,0.029713522
360,200,110,2,4051.94046269,0.032359839
370,200,110,2,4027.6865145,0.033898578
380,200,110,2,4012.69744644,0.252631187
390,200,110,2,4127.42416754,0.044181883
400,200,110,2,3895.36749857,0.079580278
410,200,110,2,4035.42451844,0.049959065
420,200,110,2,4080.19317572,0.049604698
430,200,110,2,4099.09120594,0.077784754
440,200,110,2,4047.81701856,0.074363915
450,200,110,2,3986.77552697,0.082902792
460,200,110,2,3946.6416779,0.054233054
470,200,110,2,4139.77814052,0.07025648
480,200,110,2,4137.08517708,0.038060788
490,200,110,2,3964.29334671,0.038547027
500,200,110,2,4018.23215001,0.047730109
510,200,110,2,4137.64229257,0.050548353
520,200,110,2,4012.24133194,0.045912305
530,200,110,2,3974.32356398,0.412448309
540,200,110,2,4100.9374556,0.173829388
550,200,110,2,4025.4768598,0.107204713
560,200,110,2,4102.81477786,0.080575761
570,200,110,2,3929.10527599,0.142587845
580,200,110,2,4225.32088901,0.136460778
590,200,110,2,3829.45163841,0.126598162
600,200,110,2,3961.27566778,0.146468654
610,200,110,2,3973.91565894,0.064580573
620,200,110,2,4021.21406759,0.074185964
630,200,110,2,4002.88938056,0.0539121
640,200,110,2,4049.22762589,0.17455742
650,200,110,2,3942.47288959,0.062940509
660,200,110,2,3885.23558384,0.058175
670,200,110,2,4206.84766159,0.067342958
680,200,110,2,3977.72798264,0.07063394
690,200,110,2,4019.68313534,0.063419806
700,200,110,2,4159.90728729,0.275246654
710,200,110,2,3889.06576962,0.119015219
720,200,110,2,4069.37294638,0.156892395
730,200,110,2,3984.92304675,0.123299588
740,200,110,2,3947.82101203,0.138988398
750,200,110,2,3975.72578609,0.083483784
760,200,110,2,4055.42967322,0.067836248
770,200,110,2,4019.14597537,0.154441889
780,200,110,2,3980.90294165,0.071104312
790,200,110,2,4076.80154668,0.063402143
800,200,110,2,3987.98127036,0.063549637
810,200,110,2,4077.1257625,0.07986702
820,200,110,2,4089.42921622,0.072753329
830,200,110,2,3928.76970804,0.074985847
840,200,110,2,4147.48973517,0.079485295
850,200,110,2,4013.08670762,0.07074977
860,200,110,2,3974.59469169,0.06979805
870,200,110,2,4097.00346551,0.076858706
880,200,110,2,4062.89762229,0.093906506
890,200,110,2,4002.24317776,0.126650665
900,200,110,2,4025.51202611,0.091819585
910,200,110,2,4091.81618079,0.071324272
920,200,110,2,3844.46897584,0.076005222
930,200,110,2,3837.13714875,0.08169574
940,200,110,2,3938.70348803,0.079518727
950,200,110,2,3988.55494132,0.086787145
960,200,110,2,3998.03987666,0.087193574
970,200,110,2,3902.77837139,0.0802757
980,200,110,2,4006.01469319,0.083385445
990,200,110,2,4152.34572217,0.088536771
1000,200,110,2,4048.55752425,0.121435471
1010,200,110,2,3997.87605633,0.095647594
1020,200,110,2,3915.13441423,0.104394693
1030,200,110,2,4106.58393925,0.115686523
1040,200,110,2,4084.15073829,0.086970261
