iterations,samples,to_keep,m,fitness,time
0,200,100,0.1,2499.77842634,0.000112244
10,200,100,0.1,3528.46249175,0.050507366
20,200,100,0.1,3508.02673395,0.080169874
30,200,100,0.1,3465.40241633,0.088558876
40,200,100,0.1,3462.45781149,0.081450006
50,200,100,0.1,3451.94251949,0.116865504
60,200,100,0.1,3555.39303529,0.120656648
70,200,100,0.1,3595.21671886,0.243166284
80,200,100,0.1,3511.46906959,0.159023635
90,200,100,0.1,3486.89741396,0.260402396
100,200,100,0.1,3521.5384912,0.245681011
110,200,100,0.1,3414.11093702,0.221031325
120,200,100,0.1,3529.33910606,0.207108208
130,200,100,0.1,3500.09445122,0.20416306
140,200,100,0.1,3543.19580201,0.191954183
150,200,100,0.1,3475.7087847,0.242391031
160,200,100,0.1,3645.16869983,0.243846611
170,200,100,0.1,3555.93155075,0.230401262
180,200,100,0.1,3428.34023433,0.251992413
190,200,100,0.1,3494.33788772,0.261797498
200,200,100,0.1,3549.00621241,0.271930907
210,200,100,0.1,3465.55814852,0.309030792
220,200,100,0.1,3508.71192838,0.308236291
230,200,100,0.1,3537.86708196,0.380587309
240,200,100,0.1,3548.31479653,0.370687911
250,200,100,0.1,3590.97377806,0.312130042
260,200,100,0.1,3488.98468637,0.484003924
270,200,100,0.1,3482.94541341,0.359800732
280,200,100,0.1,3591.20673464,0.498221056
290,200,100,0.1,3519.99390522,0.412266816
300,200,100,0.1,3585.19898214,0.46207066
310,200,100,0.1,3547.00164526,0.793686532
320,200,100,0.1,3565.79725877,0.504331007
330,200,100,0.1,3586.22334165,0.361223644
340,200,100,0.1,3547.28517117,0.371610761
350,200,100,0.1,3560.07310805,0.378662242
360,200,100,0.1,3476.99945701,0.416568375
370,200,100,0.1,3400.15825785,0.411339687
380,200,100,0.1,3529.42006375,0.412576268
390,200,100,0.1,3553.69872513,0.446447385
400,200,100,0.1,3639.74489603,0.422670186
410,200,100,0.1,3591.22321522,0.435080499
420,200,100,0.1,3557.38258326,0.452768032
430,200,100,0.1,3564.09685144,0.449674623
440,200,100,0.1,3544.33938142,0.481125183
450,200,100,0.1,3643.08438354,0.477580701
460,200,100,0.1,3521.01998809,0.603815063
470,200,100,0.1,3483.76400174,0.563238378
480,200,100,0.1,3554.2468917,0.543979339
490,200,100,0.1,3593.10381472,0.755798925
0,200,100,0.3,2539.40047,8.35399999985e-05
10,200,100,0.3,3524.70795487,0.01530397
20,200,100,0.3,3525.96098798,0.025279129
30,200,100,0.3,3497.71229353,0.04669752
40,200,100,0.3,3638.8699263,0.04664221
50,200,100,0.3,3587.82620569,0.097808477
60,200,100,0.3,3587.0183096,0.249827466
70,200,100,0.3,3602.00865791,0.075975854
80,200,100,0.3,3642.03734667,0.093270873
90,200,100,0.3,3448.46846496,0.100607063
100,200,100,0.3,3531.87963344,0.111191334
110,200,100,0.3,3595.35884642,0.126297457
120,200,100,0.3,3545.04505961,0.130401998
130,200,100,0.3,3505.82366674,0.170199203
140,200,100,0.3,3495.47439018,0.183047185
150,200,100,0.3,3538.18218699,0.191124582
160,200,100,0.3,3607.72738549,0.186371554
170,200,100,0.3,3507.84308434,0.199623264
180,200,100,0.3,3566.4294625,0.195616189
190,200,100,0.3,3607.37074507,0.211864937
200,200,100,0.3,3555.39863621,0.237759333
210,200,100,0.3,3596.21669073,0.225078111
220,200,100,0.3,3615.59174508,0.227963954
230,200,100,0.3,3569.91099816,0.348816848
240,200,100,0.3,3534.92859149,0.289566813
250,200,100,0.3,3471.86695269,0.318043932
260,200,100,0.3,3578.05137382,0.328544956
270,200,100,0.3,3515.50223247,0.317161358
280,200,100,0.3,3666.43431439,0.729205772
290,200,100,0.3,3620.96616622,0.316988046
300,200,100,0.3,3601.61469211,0.341346755
310,200,100,0.3,3568.28134921,0.34468927
320,200,100,0.3,3494.48833068,0.50415038
330,200,100,0.3,3641.27554023,0.394408824
340,200,100,0.3,3592.61675043,0.359279069
350,200,100,0.3,3634.58704786,0.389682995
360,200,100,0.3,3573.09737528,0.430661336
370,200,100,0.3,3554.51004362,0.399607197
380,200,100,0.3,3606.59938983,0.40980887
390,200,100,0.3,3539.45546279,0.454416431
400,200,100,0.3,3556.03740257,0.522508169
410,200,100,0.3,3653.44794029,0.452607561
420,200,100,0.3,3561.17650818,0.460341206
430,200,100,0.3,3553.71524073,0.458784986
440,200,100,0.3,3594.74620171,0.459859934
450,200,100,0.3,3520.27960218,0.499226108
460,200,100,0.3,3593.87417031,0.488661433
470,200,100,0.3,3516.18818781,0.512898155
480,200,100,0.3,3609.05320654,0.51136209
490,200,100,0.3,3512.76569353,0.516800806
0,200,100,0.5,2558.82641845,1.16249999991e-05
10,200,100,0.5,3437.87100509,0.013464133
20,200,100,0.5,3534.2502725,0.025307489
30,200,100,0.5,3583.26442914,0.034185341
40,200,100,0.5,3539.77265659,0.044234457
50,200,100,0.5,3470.15687749,0.053767867
60,200,100,0.5,3504.80195181,0.072299251
70,200,100,0.5,3527.8644043,0.092819023
80,200,100,0.5,3615.06116786,0.084479828
90,200,100,0.5,3580.96529109,0.108657355
100,200,100,0.5,3524.00171142,0.108515254
110,200,100,0.5,3525.10299996,0.131711328
120,200,100,0.5,3591.49703582,0.133075925
