iterations,fitness,time
0,2202.0351766,6.711e-05
10,2095.90692368,0.000227417
20,2219.34040604,0.000117365
30,3171.92346543,0.000153474
40,2556.03704129,0.00025507
50,2934.36330136,0.000289233
60,2554.06194335,0.000148928
70,2904.93272082,0.000121157
80,3155.63617425,0.000108547
90,3242.15533342,0.000194601
100,3032.09462049,0.000200503
110,3040.07681981,0.000194618
120,3273.20210526,0.000230395
130,3028.05123743,0.000209164
140,3107.83444126,0.000976005
150,2759.7018481,0.000342828
160,2870.48250048,0.000150804
170,2930.06644103,5.4948e-05
180,3035.05561803,8.0335e-05
190,2957.92478689,6.8999e-05
200,3272.63915198,5.9465e-05
210,3065.62620776,6.796e-05
220,3092.36255624,7.6014e-05
230,3158.07053361,7.3266e-05
240,2727.8205326,0.000407672
250,2951.99651086,4.7188e-05
260,2954.31755473,8.2092e-05
270,3287.66316865,6.7176e-05
280,3036.16104743,6.5133e-05
290,2920.0820294,6.703e-05
300,2993.6242114,7.4392e-05
310,2879.12775939,6.1646e-05
320,3332.95405574,5.5804e-05
330,3204.39940061,8.9602e-05
340,3058.35437263,8.4665e-05
350,3414.30737933,6.069e-05
360,3177.39628197,7.6281e-05
370,3182.93629225,8.9745e-05
380,3120.46978954,0.00016529
390,2831.83112094,0.00010864
400,3035.70050582,9.4303e-05
410,3168.08901772,0.000100018
420,3103.02004343,0.000101048
430,3137.24592082,0.000125938
440,2808.4278089,0.000105702
450,3189.07606569,0.000111652
460,3068.92805508,0.000103347
470,3336.63542527,8.3629e-05
480,3022.91657974,8.3836e-05
490,3048.03632234,0.00011758
500,3080.16098145,0.000131073
510,2962.81066074,0.000110188
520,2882.70910884,0.000124555
530,3255.50175633,0.00012834
540,3359.13189924,0.000164804
550,2925.47694813,0.000143024
560,3190.95568837,0.00010811
570,3017.59012901,0.000136683
580,3055.25706892,0.000131423
590,3297.87232717,0.000103248
600,2817.26949075,0.000100029
610,3050.44205568,9.8791e-05
620,3126.4826127,0.000102739
630,2987.10450776,0.000109911
640,3082.72389039,0.000114748
650,3065.73120254,9.6959e-05
660,2973.55067309,8.4956e-05
670,3111.14548546,0.000109738
680,2921.07137756,0.000111408
690,2993.03951168,0.000115795
700,2749.71816983,0.000117824
710,3278.71272883,0.00011265
720,2934.30569237,0.000124201
730,3041.39362338,0.00012862
740,2862.64052359,9.8751e-05
750,3079.15096076,0.000121479
760,2959.74806584,0.000124023
770,3120.36541692,0.000124166
780,3099.19433078,0.000124013
790,3010.32250143,0.000128484
800,3303.87378509,9.8574e-05
810,3032.33797293,0.000128038
820,3071.46962835,0.000149708
830,2912.46229559,0.000101589
840,3185.93046316,0.000121917
850,2978.80444642,0.000100181
860,3324.04729061,0.000140541
870,3143.29834187,0.000134723
880,3151.4953841,0.000125604
890,3087.41596773,0.000144473
900,3243.1556134,0.000128554
910,3547.3006613,0.000137149
920,3135.86276391,0.000110101
930,3003.39554259,0.000106372
940,2956.13950973,0.000107201
950,3089.30392643,0.000144671
960,3246.49948144,0.000149077
970,2949.03572429,0.000151162
980,2989.49691654,0.000151141
990,2912.3089038,0.000154148
1000,3087.95954579,0.000162033
1010,3233.61652627,0.000142565
1020,2882.85199059,0.000140108
1030,2938.11460205,0.000670758
1040,2672.27534132,0.000107538
1050,3145.81677109,0.000138576
1060,3210.89812948,0.000103958
1070,3510.88365275,0.000131189
1080,3141.75420344,0.000144767
1090,3081.72835295,0.000107181
1100,3148.0730477,0.000133195
1110,3395.78158141,0.000110678
1120,3053.22548192,0.000110883
1130,3158.02311481,0.000110722
1140,3293.12006696,0.000142782
1150,2898.00131076,0.000153777
1160,2883.64212967,0.000153523
1170,3158.29972573,0.000137664
1180,3389.57691403,0.000147535
1190,3208.27526353,0.000146844
1200,2961.89958853,0.000164429
1210,2930.64592647,0.00014208
1220,2947.06370947,0.000169524
1230,3296.55550908,0.000143699
1240,3368.22609352,0.000157886
1250,3077.16363812,0.000162323
1260,3008.65339493,0.000159287
1270,2956.41017263,0.000154766
1280,2804.67842755,0.000195196
1290,2895.43324478,0.000530033
1300,3143.42092258,0.000403531
1310,3090.58405125,0.000296516
1320,3191.30214571,0.000161265
1330,3549.19566318,0.000167539
1340,3049.5991986,0.000135036
1350,2997.41752138,0.000180697
1360,3223.37782454,0.000176007
1370,3345.42874637,0.000133724
1380,3403.36284707,0.000132353
1390,3182.11661005,0.000175508
1400,2891.08008007,0.000167523
1410,3213.5893417,0.000243312
1420,2931.18162597,0.000181476
1430,3052.01335547,0.000238987
1440,3267.36054565,0.000191042
1450,2879.65021654,0.000177531
1460,3086.76683543,0.000227281
1470,3333.84288328,0.000139372
1480,3173.9961846,0.000142129
1490,3241.22418642,0.000173559
1500,3212.38695219,0.000199022
1510,3033.96100742,0.000146711
1520,3127.68368405,0.000229649
1530,2951.56226338,0.000181826
1540,3205.61397537,0.000147129
1550,3267.78398831,0.00019274
1560,2958.44133788,0.000184556
1570,3189.07124869,0.000143763
1580,2941.70701745,0.000151422
1590,3353.92895819,0.000147883
1600,3141.08913507,0.000149552
1610,3229.27111751,0.000150163
1620,3060.45683433,0.000205053
1630,3105.33506512,0.000194108
1640,3031.91289802,0.000165405
1650,3087.05679399,0.000190176
1660,3183.29119779,0.000153095
1670,3343.40736498,0.000169385
1680,3007.02588058,0.000152397
1690,3134.66393197,0.000153273
1700,3032.05332101,0.000202875
1710,3130.59649225,0.000169177
1720,3151.55041665,0.000206398
1730,3156.34424641,0.0002084
1740,3072.02017676,0.000205667
1750,3305.68969543,0.000217528
1760,3191.34221978,0.000233395
1770,3442.4268397,0.000220495
1780,3176.28736677,0.00025361
1790,3234.35529975,0.000176155
1800,2974.36919871,0.000175068
1810,3200.42430129,0.000390223
1820,2951.58241441,0.000513583
1830,3018.7069569,0.003147961
1840,3151.51638051,0.000583102
1850,3150.54217127,0.000578762
1860,3106.52574242,0.000595291
1870,3149.54527157,0.000697731
1880,3195.06759685,0.000544496
1890,3040.77479588,0.0004838
1900,3097.28077138,0.000449326
1910,3008.92612431,0.000483751
1920,3103.7248789,0.000571332
1930,3352.56165837,0.000612121
1940,3186.68649176,0.000566529
1950,3242.68701922,0.00052043
1960,3215.46647114,0.000683821
1970,2978.84701269,0.000606328
1980,3198.08265341,0.000535022
1990,3336.14351061,0.000501367
2000,3287.95289973,0.000491493
2010,3214.76589,0.000502617
2020,3033.48007069,0.000594282
2030,3244.92498888,0.00057361
2040,3216.96888391,0.000706628
2050,2831.8778649,0.000523405
2060,3133.05465684,0.000531456
2070,3122.34676594,0.000624468
2080,3017.7026602,0.000666757
2090,3199.96804716,0.00050538
2100,3282.3410883,0.000563005
2110,3138.80037801,0.000550821
2120,3246.94331437,0.000512254
2130,2990.31674399,0.000817568
2140,2904.9929566,0.00073878
2150,3227.22612146,0.000546181
2160,3012.55878651,0.000542965
2170,3141.88472762,0.0005448
2180,3128.22664382,0.000522302
2190,3336.28548999,0.000566287
2200,3210.14118244,0.000717428
2210,3282.78985972,0.000535857
2220,3282.47057937,0.000826803
2230,3138.07229564,0.000556886
2240,3205.67490243,0.001404421
2250,3106.02943299,0.000782154
2260,3057.82748605,0.000588557
2270,2908.39248567,0.000551729
2280,3270.97772015,0.000717547
2290,3003.3606408,0.000549299
2300,3184.79320482,0.000639895
2310,3339.31210607,0.000649057
