iteration,cooling_value,fitness,time
0,0.19,2069.72979912,6.36500000006e-06
10,0.19,2619.4854922,0.000103384
20,0.19,2168.81422362,4.0916e-05
30,0.19,2673.48163982,3.54849999999e-05
40,0.19,2667.78525732,6.183e-05
50,0.19,2804.47573921,4.081e-05
60,0.19,3257.59375863,5.55e-05
70,0.19,3047.22829148,5.56669999999e-05
80,0.19,3068.51245771,6.7163e-05
90,0.19,3145.05812537,7.1974e-05
100,0.19,3054.39108921,0.000105878
110,0.19,3241.97852816,4.11189999999e-05
120,0.19,3117.44854744,4.85609999999e-05
130,0.19,3374.16030205,9.7518e-05
140,0.19,3225.79433395,7.1295e-05
150,0.19,3279.96357831,7.6847e-05
160,0.19,3037.44201935,8.16570000001e-05
170,0.19,3387.60855607,8.25299999999e-05
180,0.19,3264.06164906,8.53940000001e-05
190,0.19,3223.55570865,9.2559e-05
200,0.19,3120.27348795,0.000100322
210,0.19,3061.09185047,9.05670000001e-05
220,0.19,2913.55354719,0.000111774
230,0.19,3188.37469876,0.000174669
240,0.19,3008.86237487,0.000119924
250,0.19,3099.62281706,0.000130993
260,0.19,3047.68733621,0.00012423
270,0.19,3135.09708862,0.000126454
280,0.19,3207.82398748,0.000133628
290,0.19,2958.10132432,0.000148536
300,0.19,3400.66753539,0.000123527
310,0.19,3236.03904639,0.000142698
320,0.19,3127.91330234,0.000117559
330,0.19,3197.90123468,0.000128484
340,0.19,2877.79715578,0.000159486
350,0.19,2840.31708353,0.000179676
360,0.19,2971.03396635,0.000186672
370,0.19,3344.83046588,0.001092394
380,0.19,3126.98329653,0.00025493
390,0.19,2923.22139464,0.000192433
400,0.19,3264.57664767,0.000184107
410,0.19,2957.94522882,0.000228178
420,0.19,2984.82100464,0.000278673
430,0.19,2883.6485807,0.000183393
440,0.19,3147.6425677,0.000229698
450,0.19,3080.31040506,0.000217652
460,0.19,3107.14989878,0.00027628
470,0.19,3209.67170651,0.000257766
480,0.19,2958.20830211,0.000298219
490,0.19,2911.58929916,0.000245341
500,0.19,3342.06744947,0.000294218
510,0.19,3137.40439513,0.000296195
520,0.19,3065.20370631,0.000337182
530,0.19,2677.59789605,0.00032264
540,0.19,2673.01877172,0.0004873
550,0.19,3163.24600097,0.000451722
560,0.19,3200.05281713,0.000381717
570,0.19,3334.07391346,0.000371221
580,0.19,2989.54502614,0.000346198
590,0.19,3022.25806422,0.000423694
600,0.19,2878.92121241,0.000394672
610,0.19,3026.41281869,0.000412126
620,0.19,3168.7866549,0.000398854
630,0.19,3358.09936047,0.000418584
640,0.19,3086.6468846,0.000415739
650,0.19,3041.08733084,0.000479067
660,0.19,3177.67081945,0.000470745
670,0.19,3214.28421399,0.000452779
680,0.19,2949.52762474,0.000604188
690,0.19,3263.60055248,0.000412783
700,0.19,2907.99953004,0.000402649
710,0.19,3063.3029916,0.000375439
720,0.19,3191.231073,0.000390549
730,0.19,3189.37989916,0.00040398
740,0.19,3058.71254713,0.000492913
750,0.19,3105.01412127,0.000418091
760,0.19,3174.82393348,0.000529401
770,0.19,3184.52650066,0.000549068
780,0.19,3206.04963849,0.000559926
790,0.19,3156.8418386,0.000483686
800,0.19,3321.76891425,0.000610028
810,0.19,3188.40359471,0.000514916
820,0.19,2945.84797787,0.000677203
830,0.19,3385.5720432,0.000513093
840,0.19,3006.86926799,0.000511465
850,0.19,3211.98179099,0.000651037
860,0.19,3295.37152624,0.000650603
870,0.19,2912.22691699,0.000842897
880,0.19,3048.48005679,0.00079018
890,0.19,2937.26896453,0.001057395
900,0.19,3078.36930874,0.000582025
910,0.19,2820.94307488,0.000616037
920,0.19,3204.2895225,0.000584435
930,0.19,3165.21782323,0.000676796
940,0.19,3183.92718993,0.001133467
950,0.19,3061.74100841,0.000769634
960,0.19,3014.05214988,0.000697319
970,0.19,3023.20209741,0.000752067
980,0.19,3031.57803613,0.000763658
990,0.19,2985.71781322,0.000731968
1000,0.19,2881.65656684,0.000631021
1010,0.19,3235.0720269,0.000764074
1020,0.19,2803.69295397,0.000986101
1030,0.19,3106.97582331,0.001061594
1040,0.19,3140.99249466,0.000712954
1050,0.19,3275.73175476,0.000934549
1060,0.19,3382.42138558,0.000818805
1070,0.19,3247.08895989,0.000879287
1080,0.19,3160.8265832,0.00087213
1090,0.19,2972.59846753,0.000904429
1100,0.19,3131.82029982,0.001122767
1110,0.19,3361.68380882,0.000878603
1120,0.19,3173.10333285,0.00090206
1130,0.19,3195.70467879,0.004592868
1140,0.19,3143.56681728,0.000960244
1150,0.19,3141.25051219,0.000822481
1160,0.19,2992.15017999,0.00086066
1170,0.19,3379.25180758,0.000881556
1180,0.19,3206.49043936,0.000846665
1190,0.19,3267.96407755,0.000890429
1200,0.19,3402.37639335,0.000821723
1210,0.19,3425.45284592,0.000832974
1220,0.19,3204.1557849,0.000815177
1230,0.19,3112.84839541,0.000848331
1240,0.19,3137.20166849,0.000878128
1250,0.19,2808.56033997,0.000840315
1260,0.19,2827.4885868,0.000858657
1270,0.19,2945.24480211,0.001015794
1280,0.19,3155.04432836,0.001058055
1290,0.19,2978.30501025,0.000886839
1300,0.19,2935.0781396,0.000878017
1310,0.19,3014.70352264,0.000952411
1320,0.19,3309.87821991,0.000901626
1330,0.19,2989.45651181,0.001108755
1340,0.19,3088.41057393,0.000944758
